1333681515 1 0 0 0
1333681894 2 0 0 0
1333685552 3 0 0 0
1333685649 4 0 0 0
1333685755 5 0 0 0
1333689047 6 0 0 0
1333689268 7 0 0 0
1333690815 8 0 0 0
1333774556 9 0 0 0
1334062694 9 0 0 1
1334149719 10 0 0 1
1334150695 11 0 0 1
1334153417 12 0 0 1
1334153562 13 0 0 1
1334153845 14 0 0 1
1334209066 15 0 0 1
1334209208 16 0 0 1
1334242584 17 0 0 1
1334423844 17 0 1 1
1334424135 17 0 2 1
1334459894 18 0 2 1
1334459959 19 0 2 1
1334490394 19 1 2 1
1334490974 19 2 2 1
1334558503 20 2 2 1
1334593819 21 2 2 1
1334596539 21 2 3 1
1334621798 21 3 3 1
1334622442 21 4 3 1
1334673555 22 4 3 1
1334673587 23 4 3 1
1334673649 24 4 3 1
1334675707 25 4 3 1
1334678074 26 4 3 1
1334678697 26 4 4 1
1334684396 26 4 5 1
1334697645 26 5 5 1
1334697933 26 6 5 1
1334713458 27 6 5 1
1334713485 28 6 5 1
1334719595 29 6 5 1
1334724528 30 6 5 1
1334724573 31 6 5 1
1334726735 32 6 5 1
1334727475 33 6 5 1
1334729399 34 6 5 1
1334737566 34 7 5 1
1334751919 35 7 5 1
1334820130 35 8 5 1
1334820160 35 9 5 1
1334846431 36 9 5 1
1334846514 37 9 5 1
1334857280 38 9 5 1
1334897152 39 9 5 1
1334905606 40 9 5 1
1334909345 41 9 5 1
1334919329 42 9 5 1
1334923194 43 9 5 1
1334928134 44 9 5 1
1334965837 45 9 5 1
1334996939 46 9 5 1
1335016318 47 9 5 1
1335025689 48 9 5 1
1335030479 49 9 5 1
1335259745 50 9 5 1
1335364511 51 9 5 1
1335371866 52 9 5 1
1335371889 53 9 5 1
1335372008 54 9 5 1
1335432272 55 9 5 1
1336710972 56 9 5 1
1336728913 57 9 5 1
1336731812 58 9 5 1
1338229289 59 9 5 1
1338231671 60 9 5 1
1339433595 61 9 5 1
